#{"t_start": 1616687079.692363, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-597.286546,65,465.039995
-536.959398,70,465.483564
-549.261228,79,465.977877
-434.326155,57,466.507972
-495.660717,59,466.906501
-352.835212,52,467.301815
-517.115722,63,467.668931
-648.358547,72,468.112164
-751.62403,84,468.609288
-351.944488,84,469.177446
-538.375456,69,469.735256
-363.118374,55,470.186956
-631.472749,69,470.574472
-686.831,80,471.049098
-421.387006,56,471.562336
-453.672082,59,471.939947
-363.349254,53,472.331472
-364.808538,85,472.700955
-363.542303,55,473.243545
-496.907566,57,473.609675
-579.277559,66,474.006917
-324.119736,51,474.440814
-541.795984,63,474.795652
-773.647549,85,475.238398
-523.359588,60,475.79601
-578.509188,63,476.2158
-709.332803,70,476.665676
-526.854696,59,477.146293
-761.308406,121,477.599944
-533.765401,59,478.401194
-432.98653,59,478.812039
-913.615733,83,479.249362
-878.132667,84,479.83285
-679.224755,80,480.416752
-868.216006,85,480.978878
-489.52154,57,481.552778
-858.465748,84,481.968534
-325.137443,52,482.530368
-552.018167,69,482.919168
-510.456512,57,483.390775
-629.929259,70,483.793338
-474.013121,62,484.278007
-384.36675,53,484.702288
-698.185625,78,485.084795
-653.64363,80,485.601877
-521.732611,58,486.100753
-452.472023,52,486.483817
-672.234679,71,486.842811
-624.469962,67,487.290022
-277.752774,50,487.712987
-528.982738,62,488.042441
-499.812949,72,488.448989
-512.719484,58,488.887182
-528.697612,63,489.282614
-792.301942,82,489.7196
-602.700569,69,490.227964
-320.492921,53,490.678009
-383.248751,51,491.040178
-589.96471,63,491.403511
-843.458926,78,491.806811
-360.453592,52,492.288882
-486.326739,76,492.633693
-616.295471,75,493.108974
-366.804705,49,493.562628
-373.16662,52,493.86851
-483.949493,60,494.203162
-430.213438,79,494.602922
-462.055989,65,495.092134
-352.877104,54,495.517266
-369.098704,56,495.860316
-593.822435,64,496.246076
-444.439569,55,496.671736
-511.811514,68,497.028431
-602.102141,66,497.441608
-338.579581,54,497.841137
-642.58847,68,498.183151
-474.852978,62,498.61209
-1010.120606,122,499.073855
-691.906571,76,499.841442
-444.830426,56,500.337127
-695.434543,82,500.728405
-465.860771,54,501.219349
-697.670616,81,501.582176
-775.659602,84,502.108994
-422.121741,60,502.623209
-552.538055,65,503.00447
-486.51475,56,503.431483
-343.690748,54,503.81164
-442.601857,61,504.174698
-657.383951,77,504.590615
-484.171437,63,505.16901
-540.462218,71,505.607717
-720.34354,74,506.098479
-753.39841,80,506.585371
-712.660489,96,507.160013
-395.247952,56,507.727181
-318.989515,50,508.076473
-541.674214,61,508.392121
-771.831795,86,508.784922
-419.817631,60,509.327338
-372.417172,55,509.718439
-504.112824,56,510.099274
-452.431362,56,510.489312
-705.129751,73,510.892635
-448.888223,60,511.384254
-1013.453681,105,511.832579
-742.495525,83,512.535701
-437.308957,61,513.087666
-497.13182,73,513.51076
-504.967187,73,513.988502
-459.681299,69,514.471949
-710.292689,80,514.936577
-812.069977,78,515.459922
-513.53993,57,515.953439
-519.64936,57,516.337814
-778.570076,80,516.739806
-549.925736,62,517.248314
-332.539203,51,517.649964
-584.949355,66,518.013952
-532.939224,60,518.466185
-527.899153,61,518.869372
-479.459804,71,519.286209
-465.190338,75,519.773828
-438.133661,74,520.282712
-496.687947,55,520.768626
-374.915295,57,521.138064
-726.830824,77,521.535469
-410.677547,59,522.045333
-547.157416,64,522.445612
-553.39084,60,522.872306
-589.296239,64,523.290511
-504.718507,57,523.714736
-473.694064,72,524.115652
-560.526668,69,524.590518
-654.787783,71,525.052346
-489.677192,65,525.524446
-455.766095,56,525.921358
-549.310631,60,526.274592
-480.984859,73,526.656544
-531.801115,64,527.097936
-527.801927,64,527.519574
-468.572423,58,527.93556
-358.687988,54,528.336017
-475.493055,55,528.687516
-373.956303,55,529.05301
-477.72928,71,529.423921
-617.9109,68,529.912867
-351.903656,53,530.366863
-499.645326,62,530.731444
-581.094075,64,531.112491
-933.040352,87,531.580785
-661.364847,70,532.12345
-383.290832,54,532.547524
-522.168397,73,532.899604
-540.865171,61,533.353085
-499.512915,64,533.734154
-519.422783,66,534.132021
-816.659017,77,534.552368
-439.040013,51,535.038624
-433.82516,68,535.38535
-776.497726,76,535.868603
-481.549308,62,536.368898
-690.589008,74,536.796704
-618.674376,69,537.295095
-815.13005,79,537.781084
-770.798751,86,538.334731
-505.731161,66,538.954608
-781.79879,76,539.415283
-302.315721,50,539.927165
-424.154286,111,540.304804
-353.049236,50,541.040798
-459.155075,55,541.368976
-530.438667,62,541.760054
-642.802691,133,542.25848
-537.560025,67,543.123836
-623.095478,69,543.572567
-459.007836,61,544.036014
-429.891566,58,544.452344
-371.954303,56,544.851333
-528.853287,58,545.22696
-555.024169,63,545.600279
-359.666931,53,546.010112
-566.545761,64,546.377515
-643.98499,70,546.808672
-334.767486,50,547.281721
-580.560931,67,547.627227
-316.688451,50,548.033226
-376.114718,53,548.352886
-363.19663,54,548.683029
-545.045199,69,549.040755
-914.925601,84,549.521916
-474.202441,75,550.075429
-575.384715,69,550.553924
-680.311408,80,551.028391
-545.841373,61,551.541996
-349.872027,50,551.948297
-565.11103,63,552.289729
-475.205723,60,552.684275
-469.967521,62,553.067047
-623.2939,80,553.492526
-360.867228,53,554.022
-334.005999,52,554.387214
-783.88098,85,554.775078
-728.691479,79,555.360925
-439.643849,59,555.861629
-892.229059,81,556.262485
-318.05549,50,556.774183
-560.291347,70,557.138973
-987.054132,89,557.643027
-808.465728,77,558.235835
-844.332653,84,558.763719
-533.457373,69,559.300877
-416.638276,58,559.741422
-458.470512,54,560.114429
-429.842155,58,560.487821
-517.434413,67,560.876457
-380.441693,54,561.296217
-476.910004,53,561.635767
-497.263021,71,561.981297
-546.2413,68,562.433768
-495.001266,59,562.863969
-549.375547,61,563.240729
-534.379134,62,563.632337
-565.154939,69,564.065697
-547.044204,71,564.517355
-611.735064,64,564.985184
-443.012794,61,565.407834
-310.580655,50,565.802023
-718.901326,83,566.166227
-663.267236,81,566.683861
-601.881093,77,567.223495
-715.49185,75,567.739517
-348.371712,52,568.245849
-493.188394,66,568.616291
-682.691811,82,569.073415
-800.821465,83,569.613428
-535.938199,61,570.156588
-795.685936,85,570.566172
-588.610322,75,571.109254
-326.998473,50,571.600336
-488.534511,57,571.931082
-348.643279,53,572.307479
-440.767342,60,572.673103
-495.09755,72,573.079663
-458.316196,70,573.54094
-511.454861,58,573.972773
-482.366841,69,574.347243
-501.050803,62,574.779715
-853.779912,83,575.182727
-553.866482,67,575.70171
-770.207215,75,576.139918
-525.739735,69,576.626725
-479.783646,62,577.076511
-508.081676,58,577.468373
-769.831334,75,577.845125
-627.604131,67,578.352587
-754.653376,85,578.826741
-693.439302,77,579.39829
-469.571189,58,579.913378
-832.91565,83,580.31683
-597.297694,110,580.873884
-436.938421,61,581.600134
-378.381887,55,582.017785
-1061.873883,87,582.421775
-538.530782,69,583.047991
-285.259108,50,583.471513
-533.572265,62,583.791545
-454.380568,62,584.261207
-401.856842,52,584.644143
-359.972347,55,584.993319
-358.760399,50,585.372365
-570.496935,63,585.718518
-499.206075,73,586.178495
-747.770001,81,586.688618
-687.890028,106,587.317903
-505.802408,66,588.011615
-522.468164,58,588.430986
-371.133392,52,588.785142
-514.716619,57,589.141203
-537.225565,61,589.526725
-452.039897,53,589.911642
-869.578456,84,590.283318
-712.821336,77,590.811619
-454.169897,58,591.356762
-878.890674,81,591.737373
-326.925605,52,592.215547
-431.327665,76,592.566595
-387.222474,58,593.048935
-698.45018,81,593.434017
-779.220407,79,593.986425
-676.675955,74,594.516428
-525.29034,60,595.042363
-733.770293,76,595.450333
-649.405709,90,595.989858
-484.099146,56,596.597035
-621.713169,67,596.975115
-641.043354,72,597.458902
-656.547964,72,597.998537
-563.774769,71,598.456053
-866.057445,81,598.939292
-378.954582,52,599.447059
-785.313028,84,599.805028
-612.305379,68,600.330721
-524.193799,60,600.787603
-512.728965,67,601.215753
-688.024383,72,601.692448
-493.448972,59,602.250431
-442.687856,62,602.776452
-413.255691,52,603.213384
-521.471433,66,603.573063
-412.136853,56,604.010506
-509.413815,71,604.417626
-347.955023,53,604.894055
-383.472771,50,605.26129
-491.280069,59,605.62475
-600.055223,66,606.046206
-720.543126,77,606.510993
-481.683228,61,607.06753
-491.558215,77,607.485786
-501.58699,65,608.000869
-508.592579,74,608.452707
-608.240739,116,608.962188
-462.538843,55,609.676502
-549.691674,68,610.047567
-420.127381,55,610.512743
-553.807445,61,610.912846
-353.099106,54,611.328746
-379.882175,79,611.788616
-741.96643,78,612.2996
-772.727021,86,612.816176
-401.215513,50,613.372102
-531.439523,60,613.712644
-522.48514,75,614.207206
-748.825545,82,614.744112
-346.815799,75,615.294427
-409.239491,50,615.751988
-538.709056,68,616.094184
-432.556074,55,616.584293
-662.097103,80,616.954294
-615.781196,70,617.501921
-470.559214,55,617.973047
-475.445374,73,618.354893
-476.494872,64,618.87196
-460.890548,64,619.312391
-411.920636,57,619.735309
-505.352152,73,620.172262
-814.812264,86,620.700725
-544.964334,69,621.266101
-675.633532,82,621.715306
-663.270505,77,622.336401
-714.611851,80,622.905325
-354.914866,55,623.428154
-859.375742,84,623.808367
-466.561388,56,624.438876
-721.3775,74,624.886685
-418.740428,60,625.448856
-436.348401,51,625.81773
-484.050277,80,626.19197
-509.798865,58,626.681133
-557.409676,70,627.068549
-435.317881,51,627.515266
-511.243927,63,627.881538
-374.38001,49,628.25822
-917.028814,84,628.580505
-495.010534,72,629.104605
-520.386412,60,629.573545
-601.304574,64,629.964163
-561.971095,70,630.417591
-493.155262,57,630.932587
-582.707735,63,631.399939
-486.483072,74,631.865609
-357.820264,53,632.319143
-452.103493,75,632.66907
-594.697938,64,633.162731
-422.064774,56,633.598643
-931.061698,84,634.073525
-480.492671,54,634.719609
-456.777336,78,635.098041
-495.146892,66,635.582043
-689.819492,72,636.042382
-933.126986,88,636.520712
-551.147423,80,637.144596
-378.134389,52,637.690649
-599.529262,76,638.080624
-720.342666,76,638.616247
-832.134978,83,639.111892
-382.019166,57,639.64561
-379.169157,53,640.035208
-710.932697,74,640.40421
-454.558072,61,640.897261
-705.878321,72,641.304907
-328.583609,51,641.760254
-472.283797,56,642.114489
-418.564378,55,642.500139
-832.57854,81,642.906448
-812.92286,77,643.481868
-421.081524,59,643.99426
-451.228472,80,644.420388
-452.669227,56,644.966008
-601.725935,67,645.361456
-605.333256,65,645.821897
-785.147102,85,646.288016
-812.377413,78,646.869035
-777.109084,77,647.401067
-419.369133,79,647.935308
-860.110434,85,648.498444
-337.903237,54,649.024943
-578.405165,64,649.390055
-794.360569,79,649.843097
-755.38021,79,650.39622
-429.942477,62,650.943465
-497.548964,56,651.36412
-553.851178,60,651.758282
-647.247966,81,652.157575
-417.436958,67,652.693114
-744.235395,82,653.196877
-351.662083,54,653.739136
-954.209621,88,654.126559
-522.962069,59,654.689523
-850.333628,81,655.114318
-485.444029,72,655.666152
-655.673671,90,656.237432
-622.226038,67,656.84629
-480.854105,64,657.300477
-525.307231,57,657.718772
-560.868851,65,658.138145
-653.174179,72,658.602686
-662.432392,96,659.100516
-781.348748,78,659.711408
-478.893507,70,660.216005
-838.684547,84,660.708832
