#{"t_start": 1616687079.692363, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-364.602378,51,104.337286
-504.411246,66,104.669735
-949.25455,86,105.101893
-394.405183,57,105.62482
-731.977352,78,105.992508
-742.296978,80,106.555076
-599.56894,68,107.098325
-750.982047,80,107.58705
-885.303614,83,108.138839
-373.966458,57,108.654838
-847.570809,82,109.059055
-561.388147,68,109.61828
-603.369007,64,110.112079
-455.00545,54,110.561433
-513.641045,70,110.972398
-540.525364,71,111.451125
-688.565508,73,111.937839
-434.61681,67,112.392159
-589.43187,64,112.84027
-434.904807,54,113.280591
-750.844464,83,113.728876
-386.641003,57,114.288763
-443.692795,55,114.647347
-484.86198,75,115.035101
-462.910642,55,115.495188
-414.486878,50,115.812622
-338.163424,51,116.117762
-808.607259,79,116.466803
-507.245679,57,116.962519
-685.914695,78,117.32252
-463.463915,64,117.837308
-548.650114,71,118.23871
-371.400587,50,118.67367
-750.083442,79,119.007309
-586.211054,70,119.516513
-532.365758,59,119.942213
-504.03761,56,120.304608
-571.122632,70,120.666717
-699.543399,82,121.106933
-641.703671,74,121.623306
-694.401661,72,122.089223
-460.188302,54,122.533496
-556.909442,61,122.882821
-662.732126,75,123.29847
-505.410783,56,123.760857
-555.124227,61,124.121429
-536.927012,60,124.532503
-440.879441,52,124.917307
-451.925109,80,125.294651
-394.60409,112,125.861357
-778.421455,78,126.571955
-445.945165,58,127.06756
-896.599185,82,127.462713
-413.997908,60,127.980416
-795.12707,76,128.383046
-521.421856,59,128.867048
-635.089376,67,129.238071
-622.308117,74,129.671579
-816.081097,77,130.158147
-424.908792,69,130.636916
-538.40798,59,131.06692
-513.047999,72,131.4466
-411.469156,50,131.886198
-530.513163,67,132.207059
-729.785721,71,132.636485
-393.617665,56,133.073862
-750.167629,84,133.450995
-654.380123,76,134.0618
-868.86555,86,134.607042
-384.325642,50,135.18503
-567.828186,63,135.511109
-398.940022,51,135.957904
-741.724829,74,136.31039
-425.65375,54,136.839592
-455.845909,61,137.23448
-566.724241,71,137.676273
-818.072702,82,138.17509
-531.28201,58,138.666135
-548.217218,70,139.04689
-1033.085624,90,139.496828
-496.823175,57,140.040416
-445.728003,55,140.408807
-446.775195,59,140.754043
-477.387778,54,141.127261
-423.678468,57,141.471369
-535.389966,74,141.837428
-498.938987,60,142.297404
-480.211657,58,142.681184
-466.616245,70,143.080554
-564.394398,136,143.560034
-585.924493,71,144.338994
-371.440435,54,144.769943
-469.229727,53,145.174456
-695.530826,81,145.513271
-717.227875,80,145.998602
-828.624399,76,146.474062
-565.726383,63,146.922841
-510.717536,74,147.336734
-331.185704,50,147.761419
-456.757668,57,148.062098
-580.055445,62,148.406104
-707.686911,81,148.791777
-365.718576,55,149.283358
-420.556609,51,149.620916
-430.165461,53,149.927418
-1055.506197,90,150.270502
-450.939549,83,150.801893
-780.72626,87,151.300549
-738.983252,83,151.822248
-580.910454,65,152.305991
-388.903039,54,152.694634
-500.496216,56,153.054687
-713.587717,75,153.415986
-802.621281,86,153.95512
-550.706653,70,154.470065
-423.431045,60,154.883187
-882.478147,83,155.263774
-497.885259,66,155.76081
-437.436665,57,156.153297
-524.401057,69,156.559019
-440.378667,77,156.987826
-579.83282,69,157.437835
-509.936091,58,157.839246
-770.233392,83,158.194217
-354.082925,52,158.668262
-367.319978,53,158.998554
-440.716274,52,159.334671
-549.301314,59,159.668783
-489.422229,74,160.052158
-517.986932,59,160.507691
